Embedding,Category,Precision,Recall,F1-Score
Word2Vec Skip-gram,Books,0.9555427251732102,0.9334461364918217,0.9443651925820257
Word2Vec Skip-gram,Electronics,0.9192235441452724,0.9215317011927181,0.9203761755485893
Word2Vec Skip-gram,Household,0.940771349862259,0.9430445288229202,0.9419065678331322
Word2Vec Skip-gram,Clothing & Accessories,0.9489105935386927,0.9707916986933128,0.959726443768997
Word2Vec CBOW,Books,0.953016241299304,0.9266779469825155,0.9396625679153561
Word2Vec CBOW,Electronics,0.9216182048040455,0.9152542372881356,0.9184251968503937
Word2Vec CBOW,Household,0.9358930407953376,0.9423541594753193,0.9391124871001032
Word2Vec CBOW,Clothing & Accessories,0.9448173005219985,0.9738662567255957,0.9591218773656321
FastText,Books,0.9469740634005763,0.9266779469825155,0.9367160775370581
FastText,Electronics,0.9250793650793651,0.9146264908976773,0.9198232323232324
FastText,Household,0.9341111873713109,0.9395926820849154,0.9368439167096885
FastText,Clothing & Accessories,0.9373134328358209,0.9654112221368178,0.9511548655812192
